Author,Title,Word-count,File
Augustine,De Genesi Ad Litteram,114323,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa042a.opp-lat1.xml
Augustine,De Genesi Ad Litteram Imperfectus Liber,12351,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa042.opp-lat1.xml
Augustine,De Gestis Pelagii,18581,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa044.opp-lat1.xml
Augustine,De Gratia Christi,12181,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa046.opp-lat1.xml
Augustine,De Mendacio,14257,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa050.opp-lat1.xml
Augustine,De Natura Boni,9513,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa053.opp-lat1.xml
Augustine,De Natura et Gratia,3588,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa054.opp-lat2.xml
Augustine,De Natura et Gratia,20145,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa054.opp-lat1.xml
Augustine,De Natura et Origine Animae,36389,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa033.opp-lat1.xml
Augustine,De Nuptiis et Concupiscentia,28276,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa056a.opp-lat1.xml
Augustine,De Opere Monachorum,14879,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa055.opp-lat1.xml
Augustine,De Ordine,21763,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa056.opp-lat1.xml
Augustine,De Patientia,6277,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa056b.opp-lat1.xml
Augustine,De Peccato Originali,11149,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa056c.opp-lat1.xml
Augustine,De Peccatorum Meritis et Remissione et de Baptismo Parvulorum,41430,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa057.opp-lat1.xml
Augustine,De Perfectione Iustitiae Hominis,12086,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa057a.opp-lat1.xml
Augustine,De Sancta Virginitate,14741,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa060.opp-lat1.xml
Augustine,De Spiritu et Littera,21324,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa062.opp-lat1.xml
Augustine,De Utilitate Credendi,12981,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa064.opp-lat1.xml
Augustine,De agone christiano,8794,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa032.opp-lat1.xml
Augustine,De bono coniugali,10472,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa035.opp-lat1.xml
Augustine,De civitate dei,182660,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa003.opp-lat4.xml
Augustine,De civitate dei,166176,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa003.opp-lat3.xml
Augustine,De diuinatione daemonum,4267,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa038a.opp-lat1.xml
Augustine,De rhetorica,5197,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa0071.digilibLT-lat1.xml
Augustine,Du Duabus Animabus,7911,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa040.opp-lat1.xml
Augustine,Epistula ad Catholicos de Secta Donatistarum,26179,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa020.opp-lat1.xml
Augustine,Epistulae,144837,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa011.opp-lat4.xml
Augustine,Epistulae,187241,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa011.opp-lat2.xml
Augustine,Epistulae,155082,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa011.opp-lat3.xml
Augustine,Gesta cum Emerito Donatistarum Episcopum,4341,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa066c.opp-lat1.xml
Augustine,Libellus Adversus Fulgentium Donatistam,6407,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa070a.opp-lat1.xml
Augustine,Liber de Divinis Scripturis sive Speculum quod fertur S. Augustini,62200,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa080a.opp-lat1.xml
Augustine,Liber de Unico Baptismo,8091,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa063.opp-lat1.xml
Augustine,Liber qui appellatur Speculum,73533,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa080.opp-lat1.xml
Augustine,Locutiones in Heptateuchum,28455,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa070.opp-lat1.xml
Augustine,Psalmus Contra Partem Donati,2933,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa072.opp-lat1.xml
Augustine,Quaestiones in Heptateuchum,134871,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa074.opp-lat1.xml
Augustine,Retractationum,33904,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa077.opp-lat1.xml
Augustine,Sermo ad Caesariensis Ecclesiae Plebem,3762,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa077c.opp-lat1.xml
Augustine,Sermo de Rusticiano subdiacono,1802,lemmatized/xml/urn:cts:latinLit:stoa0040.stoa077d.opp-lat1.xml
Augustini Ars Breuiata,Augustini Ars Breuiata,9494,lemmatized/xml/urn:cts:latinLit:stoa0040a.stoa004.digilibLT-lat1.xml
Aurelius Victor Ps.,Epitome de Caesaribus,10931,lemmatized/xml/urn:cts:latinLit:stoa0044.stoa003.digilibLT-lat1.xml
Aurelius Victor Ps.,Liber de uiris illustribus urbis Romae,10962,lemmatized/xml/urn:cts:latinLit:stoa0044.stoa002.digilibLT-lat1.xml
Aurelius Victor Ps.,Origo gentis Romanae,5214,lemmatized/xml/urn:cts:latinLit:stoa0044.stoa001.digilibLT-lat1.xml
"Ausonius, Decimus Magnus",Bissula,470,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa001.perseus-lat2.xml
"Ausonius, Decimus Magnus",Caesares,1052,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa002.perseus-lat2.xml
"Ausonius, Decimus Magnus",Cento Nuptialis,1957,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa003.perseus-lat2.xml
"Ausonius, Decimus Magnus",Cento nuptialis: epistula praef.,558,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa003a.digilibLT-lat1.xml
"Ausonius, Decimus Magnus",Commemoratio Professorum Burdigalensium,3270,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa004.perseus-lat2.xml
"Ausonius, Decimus Magnus",Cupido Cruciatus,866,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa005.perseus-lat2.xml
"Ausonius, Decimus Magnus",De Herediolo,305,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa006.perseus-lat2.xml
"Ausonius, Decimus Magnus",Eclogarum Liber,3341,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa007.perseus-lat2.xml
"Ausonius, Decimus Magnus",Ephemeris,1598,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa008.perseus-lat2.xml
"Ausonius, Decimus Magnus",Epicedion in Patrem,613,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa009.perseus-lat2.xml
"Ausonius, Decimus Magnus",Epigrammaton Liber,4844,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa010.perseus-lat2.xml
"Ausonius, Decimus Magnus",Epistulae,12696,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa011.perseus-lat2.xml
"Ausonius, Decimus Magnus",Epistulae,8689,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa011.digilibLT-lat1.xml
"Ausonius, Decimus Magnus",Epitaphia,1512,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa012.perseus-lat2.xml
"Ausonius, Decimus Magnus",Genethliacon ad Ausonium Nepotem,207,lemmatized/xml/urn:cts:latinLit:stoa0045.stoa013.perseus-lat2.xml
